timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652708029088,238,Get All Activities Request,200,OK,Endurance Test Group 1-2,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=8,238,0,0
1652708029088,239,Get All Activities Request,200,OK,Endurance Test Group 1-1,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=9,239,0,0
1652708029108,248,Get All Activities Request,200,OK,Endurance Test Group 1-13,text,true,,353,182,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=10,248,0,0
1652708029140,240,Get All Activities Request,200,OK,Endurance Test Group 1-19,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=1,240,0,0
1652708029146,240,Get All Activities Request,200,OK,Endurance Test Group 1-5,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=2,240,0,0
1652708029168,241,Get All Activities Request,200,OK,Endurance Test Group 1-14,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=3,241,0,0
1652708029179,254,Get All Activities Request,200,OK,Endurance Test Group 1-6,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=4,254,0,0
1652708029199,249,Get All Activities Request,200,OK,Endurance Test Group 1-20,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=7,249,0,0
1652708029199,249,Get All Activities Request,200,OK,Endurance Test Group 1-10,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=6,249,0,0
1652708029207,241,Get All Activities Request,200,OK,Endurance Test Group 1-16,text,true,,350,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=8,241,0,0
1652708029195,253,Get All Activities Request,200,OK,Endurance Test Group 1-15,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=5,253,0,0
1652708029292,237,Get All Activities Request,200,OK,Endurance Test Group 1-7,text,true,,353,182,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=10,237,0,0
1652708029293,237,Get All Activities Request,200,OK,Endurance Test Group 1-12,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=1,237,0,0
1652708029291,240,Get All Activities Request,200,OK,Endurance Test Group 1-8,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=9,240,0,0
1652708029293,238,Get All Activities Request,200,OK,Endurance Test Group 1-18,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=3,238,0,0
1652708029293,241,Get All Activities Request,200,OK,Endurance Test Group 1-17,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=4,241,0,0
1652708029301,236,Get All Activities Request,200,OK,Endurance Test Group 1-4,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=5,236,0,0
1652708029293,245,Get All Activities Request,200,OK,Endurance Test Group 1-11,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=2,245,0,0
1652708029305,239,Get All Activities Request,200,OK,Endurance Test Group 1-9,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=7,239,0,0
1652708029303,241,Get All Activities Request,200,OK,Endurance Test Group 1-3,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=6,241,0,0
1652708029327,238,Get All Activities Request,200,OK,Endurance Test Group 1-1,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=9,238,0,0
1652708029326,239,Get All Activities Request,200,OK,Endurance Test Group 1-2,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=8,239,0,0
1652708029356,252,Get All Activities Request,200,OK,Endurance Test Group 1-13,text,true,,353,182,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=10,252,0,0
1652708029382,241,Get All Activities Request,200,OK,Endurance Test Group 1-19,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=1,241,0,0
1652708029386,247,Get All Activities Request,200,OK,Endurance Test Group 1-5,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=2,247,0,0
1652708029409,241,Get All Activities Request,200,OK,Endurance Test Group 1-14,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=3,241,0,0
1652708029433,240,Get All Activities Request,200,OK,Endurance Test Group 1-6,text,true,,349,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=4,240,0,0
1652708029449,241,Get All Activities Request,200,OK,Endurance Test Group 1-16,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=7,241,0,0
1652708029448,242,Get All Activities Request,200,OK,Endurance Test Group 1-20,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=5,242,0,0
1652708029449,241,Get All Activities Request,200,OK,Endurance Test Group 1-15,text,true,,350,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=8,241,0,0
1652708029448,244,Get All Activities Request,200,OK,Endurance Test Group 1-10,text,true,,350,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=6,244,0,0
1652708029529,239,Get All Activities Request,200,OK,Endurance Test Group 1-7,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=9,239,0,0
1652708029530,239,Get All Activities Request,200,OK,Endurance Test Group 1-12,text,true,,353,182,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=10,239,0,0
1652708029534,238,Get All Activities Request,200,OK,Endurance Test Group 1-8,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=1,238,0,0
1652708029534,238,Get All Activities Request,200,OK,Endurance Test Group 1-18,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=2,238,0,0
1652708029538,253,Get All Activities Request,200,OK,Endurance Test Group 1-4,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=4,253,0,0
1652708029534,257,Get All Activities Request,200,OK,Endurance Test Group 1-17,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=3,257,0,0
1652708029538,253,Get All Activities Request,200,OK,Endurance Test Group 1-11,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=5,253,0,0
1652708029544,247,Get All Activities Request,200,OK,Endurance Test Group 1-9,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=6,247,0,0
1652708029544,247,Get All Activities Request,200,OK,Endurance Test Group 1-3,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=7,247,0,0
1652708029565,246,Get All Activities Request,200,OK,Endurance Test Group 1-1,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=8,246,0,0
1652708029608,243,Get All Activities Request,200,OK,Endurance Test Group 1-13,text,true,,353,182,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=10,243,0,0
1652708029625,239,Get All Activities Request,200,OK,Endurance Test Group 1-19,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=1,239,0,0
1652708029634,240,Get All Activities Request,200,OK,Endurance Test Group 1-5,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=2,240,0,0
1652708029650,241,Get All Activities Request,200,OK,Endurance Test Group 1-14,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=3,241,0,0
1652708029673,239,Get All Activities Request,200,OK,Endurance Test Group 1-6,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=4,239,0,0
1652708029690,241,Get All Activities Request,200,OK,Endurance Test Group 1-16,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=6,241,0,0
1652708029690,242,Get All Activities Request,200,OK,Endurance Test Group 1-20,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=5,242,0,0
1652708029690,242,Get All Activities Request,200,OK,Endurance Test Group 1-15,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=7,242,0,0
1652708029692,242,Get All Activities Request,200,OK,Endurance Test Group 1-10,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=8,242,0,0
1652708029768,240,Get All Activities Request,200,OK,Endurance Test Group 1-7,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=9,240,0,0
1652708029770,238,Get All Activities Request,200,OK,Endurance Test Group 1-12,text,true,,353,182,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=10,238,0,0
1652708029774,237,Get All Activities Request,200,OK,Endurance Test Group 1-8,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=1,237,0,0
1652708029774,239,Get All Activities Request,200,OK,Endurance Test Group 1-18,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=2,239,0,0
